instruments/recorder,Notes,midi,inicio,fim,duracao,i,j,avg conf,std dev,eye_pos
instruments/recorder/20220416_161109.mp4,59,53.0,12.57,12.73,0.16000000000000014,1257.0,1273.0,0.8607505559921265,0.19549374834708771,"[[nan, nan], [nan, nan]]"
instruments/recorder/20220416_161109.mp4,60,53.0,12.76,13.05,0.2900000000000009,1276.0,1305.0,0.882620096206665,0.23762213456282738,"[[1198.3333333333335, 271.41666666666663], [1348.0833333333335, 271.75]]"
instruments/recorder/20220416_161109.mp4,63,53.0,13.2,13.25,0.05000000000000071,1320.0,1325.0,0.8247739672660828,0.24172219093220088,"[[1171.5, 280.6666666666667], [1320.1666666666667, 275.5]]"
instruments/recorder/20220416_161109.mp4,67,53.0,13.59,13.66,0.07000000000000028,1359.0,1366.0,0.8433114886283875,0.23481148197878096,"[[nan, nan], [nan, nan]]"
instruments/recorder/20220416_161109.mp4,68,53.0,13.67,13.88,0.21000000000000085,1367.0,1388.0,0.8736227750778198,0.26721073820745816,"[[nan, nan], [nan, nan]]"
instruments/recorder/20220416_161109.mp4,71,53.0,14.05,14.13,0.08000000000000007,1405.0,1413.0,0.857703447341919,0.24459893623601073,"[[nan, nan], [nan, nan]]"
instruments/recorder/20220416_161109.mp4,72,53.0,14.2,14.29,0.08999999999999986,1420.0,1429.0,0.8596714735031128,0.24245458837825884,"[[nan, nan], [nan, nan]]"
instruments/recorder/20220416_161109.mp4,80,53.0,15.4,15.5,0.09999999999999964,1540.0,1550.0,0.8576864004135132,0.23883776795530887,"[[nan, nan], [nan, nan]]"
instruments/recorder/20220416_161109.mp4,81,53.0,15.51,15.61,0.09999999999999964,1551.0,1561.0,0.8720105886459351,0.2491015172055412,"[[nan, nan], [nan, nan]]"
instruments/recorder/20220416_161109.mp4,85,53.0,16.52,16.57,0.05000000000000071,1652.0,1657.0,0.8376888036727905,0.23466766947038975,"[[1137.5, 146.25], [1282.4166666666667, 139.08333333333331]]"
